threshold,recall,precision,f1,accuracy
0.48000000000000004,0.875,0.21212121212121213,0.3414634146341463,0.8583916083916084
0.49,0.8333333333333334,0.22727272727272727,0.35714285714285715,0.8741258741258742
0.5,0.8333333333333334,0.2898550724637681,0.43010752688172044,0.9073426573426573
0.51,0.8333333333333334,0.29411764705882354,0.4347826086956522,0.9090909090909091
0.52,0.8333333333333334,0.29850746268656714,0.4395604395604395,0.9108391608391608
0.53,0.8333333333333334,0.30303030303030304,0.4444444444444444,0.9125874125874126
0.54,0.8333333333333334,0.3076923076923077,0.4494382022471911,0.9143356643356644
0.55,0.8333333333333334,0.3125,0.45454545454545453,0.916083916083916
0.56,0.8333333333333334,0.31746031746031744,0.45977011494252873,0.9178321678321678
0.5700000000000001,0.8333333333333334,0.3225806451612903,0.4651162790697674,0.9195804195804196
0.5800000000000001,0.8333333333333334,0.32786885245901637,0.4705882352941176,0.9213286713286714
0.59,0.8333333333333334,0.3333333333333333,0.47619047619047616,0.9230769230769231
0.6,0.8333333333333334,0.3389830508474576,0.48192771084337344,0.9248251748251748
0.61,0.8333333333333334,0.3448275862068966,0.4878048780487806,0.9265734265734266
0.62,0.8333333333333334,0.3508771929824561,0.4938271604938272,0.9283216783216783
0.63,0.8333333333333334,0.35714285714285715,0.5,0.9300699300699301
0.64,0.8333333333333334,0.36363636363636365,0.5063291139240507,0.9318181818181818
0.65,0.8333333333333334,0.37037037037037035,0.5128205128205128,0.9335664335664335
0.66,0.8333333333333334,0.37735849056603776,0.5194805194805195,0.9353146853146853
0.67,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.9370629370629371
0.68,0.8333333333333334,0.39215686274509803,0.5333333333333333,0.9388111888111889
0.6900000000000001,0.8333333333333334,0.4,0.5405405405405406,0.9405594405594405
0.7000000000000001,0.8333333333333334,0.40816326530612246,0.547945205479452,0.9423076923076923
0.7100000000000001,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.9440559440559441
0.72,0.8333333333333334,0.425531914893617,0.5633802816901409,0.9458041958041958
0.73,0.8333333333333334,0.43478260869565216,0.5714285714285714,0.9475524475524476
0.74,0.8333333333333334,0.4444444444444444,0.5797101449275363,0.9493006993006993
0.75,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.951048951048951
0.76,0.7916666666666666,0.4523809523809524,0.5757575757575758,0.951048951048951
0.77,0.75,0.45,0.5625000000000001,0.951048951048951
0.78,0.7083333333333334,0.4473684210526316,0.5483870967741936,0.951048951048951
0.79,0.7083333333333334,0.4594594594594595,0.5573770491803279,0.9527972027972028
0.8,0.6666666666666666,0.45714285714285713,0.5423728813559322,0.9527972027972028
0.81,0.625,0.45454545454545453,0.5263157894736842,0.9527972027972028
0.8200000000000001,0.5833333333333334,0.45161290322580644,0.509090909090909,0.9527972027972028
0.8300000000000001,0.5416666666666666,0.4482758620689655,0.49056603773584906,0.9527972027972028
0.8400000000000001,0.5,0.4444444444444444,0.47058823529411764,0.9527972027972028
